revenue,class,id,budget,starpower,certification,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass
81272766,6,tt1591479,12000000,6580158835,6,2012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6.5,6
32204030,4,tt1592525,20000000,9723734894,11,2012,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.1,6
78396,1,tt1594562,750000,2211987101,6,2011,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.5,5
47088990,5,tt1596346,18000000,7099927766,24,2011,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.1,7
127730736,7,tt1596365,17000000,22369537251,11,2012,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6.4,6
137551594,7,tt1598778,60000000,31867929711,11,2011,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6.6,6
36893721,4,tt1598828,40000000,10372274489,11,2012,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5
208076205,9,tt1599348,85000000,24354722889,6,2012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.8,6
82087155,6,tt1600195,35000000,33316908999,11,2011,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.1,5
19054534,3,tt1600196,12600000,9951018710,6,2014,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.1,7
77278331,6,tt1601913,25000000,13648638591,6,2012,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.8,6
10337387,3,tt1602613,4800000,2750553533,6,2013,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.7,5
10130000,3,tt1604171,8000000,4199625111,24,2011,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,5
151119219,8,tt1605783,30000000,34407164508,11,2011,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.7,7
304654182,9,tt1606378,92000000,19076149508,6,2013,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.3,5
196114570,8,tt1606389,30000000,14485072825,11,2012,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.8,6
10654385,3,tt1606392,10831173,14646632986,6,2011,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2,7
112265139,7,tt1611224,69000000,31095832188,6,2012,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5.9,5
98017,1,tt1612774,500000,3918604003,6,2010,7,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,5.8,5
82966152,6,tt1615065,45000000,14752520898,6,2012,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6.5,6
19504039,3,tt1615147,3500000,26750438317,6,2011,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.1,7
84606030,6,tt1616195,35000000,24547985411,6,2011,11,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6.6,6
96070507,6,tt1621045,12000000,10657759491,11,2012,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,6
40547440,5,tt1622547,28000000,13291871040,6,2011,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,6
491868548,9,tt1623205,200000000,126164020613,24,2013,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.3,6
107139399,7,tt1623288,60000000,27252740380,24,2012,8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,7
22939027,4,tt1625346,12000000,15599726894,6,2011,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.3,6
34522221,4,tt1630036,1000000,595990184,11,2011,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,7
150483765,8,tt1632708,35000000,19781686720,6,2011,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,6
10126458,3,tt1633356,28000000,5369929500,11,2011,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0,4
100000000,7,tt1636826,12000000,8092585179,6,2012,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,6
173930596,8,tt1637688,40000000,16010515435,11,2011,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.7,6
549368315,9,tt1637725,50000000,55996169148,21,2012,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0,7
748453,1,tt1640459,3000000,867499658,3,2011,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1,6
37710610,4,tt1640484,6600000,10202123236,11,2011,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,5
179379533,8,tt1645170,65000000,23230199480,6,2012,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,6
180274123,8,tt1649419,42000000,11700707821,11,2012,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.6,7
260095987,9,tt1650062,50000000,20733875019,11,2011,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7.1,7
60700000,5,tt1650554,28000000,19823086863,6,2013,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,6
35057696,4,tt1655420,6400000,38983484148,6,2011,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,7
133432856,7,tt1655442,15000000,35016899008,11,2011,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.9,7
40346186,5,tt1656190,30000000,12879170804,6,2012,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.5,6
60965854,5,tt1657507,40000000,19657275689,11,2011,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6.4,6
44907260,5,tt1661382,40000000,20997015276,11,2013,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,6
11417362,3,tt1663143,14000000,6705367908,11,2012,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,5
407602906,9,tt1663662,180000000,37184810065,11,2013,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,7
80547866,6,tt1666186,20000000,9189920298,11,2010,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.5,3
17511906,3,tt1668200,10000000,6023355363,11,2010,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.5,7
117698894,7,tt1670345,75000000,36745445463,11,2013,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,7
