revenue,class,id,budget,starpower,certification,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass,month1,month2
0.761342247105609,8,tt0101272,0.15198665631002733,-0.3095545485814675,-0.23076923076923062,-1.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.8,0.7,-0.5000000000000004,0.8660254037844384
0.6423066181699867,8,tt0101393,0.8005235617519699,0.2113614197070226,-0.6153846153846153,-1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6.7,0.7,0.49999999999999994,-0.8660254037844387
-1.028794377839298,2,tt0101410,-0.7001672902414745,0.30679379086755987,-0.6153846153846153,-1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7,0.8,-0.8660254037844384,-0.5000000000000004
1.1145333992099045,9,tt0101414,0.022942181251361497,0.5158040835446807,2.220446049250313e-16,-1.0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,8.0,0.8,-0.5000000000000004,0.8660254037844384
0.13489233943261064,5,tt0101507,-0.9304963834966501,-0.13782269481242815,-0.6153846153846153,-1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8,0.8,-0.4999999999999998,-0.8660254037844388
0.05276887650283389,5,tt0101516,0.15198665631002733,-0.28704501401169485,-0.6153846153846153,-1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,0.7,-2.4492935982947064e-16,1.0
0.7356984378696247,8,tt0101540,0.2610922059823464,0.05594424611729945,-0.6153846153846153,-1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,0.7,-0.5000000000000004,0.8660254037844384
0.5351692101139996,7,tt0101587,0.050702016214525567,0.03361853875700855,-0.23076923076923062,-1.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.7,0.7,1.2246467991473532e-16,-1.0
-1.883071851854022,2,tt0101615,-0.9871494096056219,-2.1304776836916273,0.7692307692307694,-1.0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2.8,0.3,-0.8660254037844386,0.5
-0.609760340953734,3,tt0101700,-1.2741315093090795,-1.9103892953557284,-0.6153846153846153,-1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.7,0.8,0.8660254037844388,-0.4999999999999998
-0.2947855682502229,4,tt0101757,-0.6255946958791802,-1.0254442340101932,-0.23076923076923062,-1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.1,0.6,1.2246467991473532e-16,-1.0
-0.20213884785313668,4,tt0101764,-0.33861256078647756,-1.4289744405303075,-0.6153846153846153,-1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.5,0.6,-0.4999999999999998,-0.8660254037844388
-0.6053255866797417,3,tt0101775,-0.8998109525987107,-0.9526727980644184,-0.23076923076923062,-1.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.8,0.6,0.8660254037844388,-0.4999999999999998
